Sample	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length
F_diaphanus_NA_BW_2_R2	18.181818181818183	10785063.0	48.0	100.0
F_diaphanus_NA_FW_1_R1	27.27272727272727	31400300.0	49.0	100.0
F_diaphanus_NA_FW_1_R2	54.54545454545454	31400300.0	49.0	100.0
F_diaphanus_NA_FW_2_R1	18.181818181818183	10373266.0	50.0	100.0
F_diaphanus_NA_FW_2_R2	18.181818181818183	10373266.0	50.0	100.0
F_diaphanus_NA_FW_3_R1	18.181818181818183	13622481.0	49.0	100.0
F_diaphanus_NA_FW_3_R2	18.181818181818183	13622481.0	49.0	100.0
F_diaphanus_NA_transfer_1_R1	27.27272727272727	18208922.0	47.0	100.0
F_diaphanus_NA_transfer_1_R2	45.45454545454545	18208922.0	47.0	100.0
F_diaphanus_NA_transfer_2_R1	18.181818181818183	6571329.0	49.0	100.0
F_diaphanus_NA_transfer_2_R2	27.27272727272727	6571329.0	49.0	100.0
F_grandis_NA_BW_1_R1	36.36363636363637	82430046.0	48.0	100.0
F_grandis_NA_BW_1_R2	45.45454545454545	82430046.0	48.0	100.0
F_grandis_NA_BW_2_R1	18.181818181818183	3756677.0	49.0	100.0
F_grandis_NA_BW_2_R2	27.27272727272727	3756677.0	49.0	100.0
F_grandis_NA_BW_3_R1	18.181818181818183	10721690.0	50.0	100.0
F_grandis_NA_BW_3_R2	27.27272727272727	10721690.0	50.0	100.0
F_grandis_NA_FW_1_R1	36.36363636363637	33661642.0	48.0	100.0
F_grandis_NA_FW_1_R2	54.54545454545454	33661642.0	48.0	100.0
F_grandis_NA_FW_2_R1	18.181818181818183	12980471.0	50.0	100.0
F_grandis_NA_FW_2_R2	18.181818181818183	12980471.0	51.0	100.0
F_grandis_NA_FW_3_R1	27.27272727272727	31111572.0	53.0	100.0
F_grandis_NA_FW_3_R2	27.27272727272727	31111572.0	53.0	100.0
F_grandis_NA_transfer_1_R1	36.36363636363637	23696114.0	49.0	100.0
F_grandis_NA_transfer_1_R2	45.45454545454545	23696114.0	49.0	100.0
F_grandis_NA_transfer_2_R1	27.27272727272727	16230021.0	52.0	100.0
F_grandis_NA_transfer_2_R2	36.36363636363637	16230021.0	52.0	100.0
F_grandis_NA_transfer_3_R1	36.36363636363637	20081935.0	52.0	100.0
F_grandis_NA_transfer_3_R2	36.36363636363637	20081935.0	53.0	100.0
F_heteroclitus_MDPL_BW_1_R1	27.27272727272727	16523320.0	48.0	100.0
