"","id","F_similis_NA_BW_1","F_similis_NA_BW_2","F_similis_NA_BW_3","F_similis_NA_FW_2","F_similis_NA_FW_3","F_similis_NA_transfer_1","F_similis_NA_transfer_2","F_similis_NA_transfer_3","baseMean.BW_FW","log2FoldChange.BW_FW","lfcSE.BW_FW","stat.BW_FW","pvalue.BW_FW","padj.BW_FW","baseMean.transfer_FW","log2FoldChange.transfer_FW","lfcSE.transfer_FW","stat.transfer_FW","pvalue.transfer_FW","padj.transfer_FW","baseMean.transfer_BW","log2FoldChange.transfer_BW","lfcSE.transfer_BW","stat.transfer_BW","pvalue.transfer_BW","padj.transfer_BW","gene","NA","NA.1","NA.2","NA.3","NA.4","NA.5"
"3042","Funhe2EKm023852t1","23.1916023596453","17.6217578199137","14.3512473447315","20.811492087637","13.134842468273","26.6412561702415","14.7695904503766","19.3193585523682",18.7301434066483,0.154813953120377,0.503104614551552,0.307717219525748,0.758297515820901,1,18.7301434066483,0.314092399815951,0.500085432892807,0.628077482679399,0.529953183129953,1,18.7301434066483,0.159278446695575,0.438039675172814,0.363616484357807,0.716144415508821,0.998315929808848,"Rho","GTPase-activating","protein","10","(100%M)","",""
"3043","Funhe2EKm023853t1","7.24737573738916","8.81087890995683","9.567498229821","11.5619400486872","4.37828082275766","8.47676332689501","5.90783618015062","10.6256472038025",8.3220275574325,0.128991967395054,0.678547289611048,0.190100188107735,0.849230622680066,1,8.3220275574325,0.13650677554083,0.678890424642648,0.201073355265961,0.840641215910316,1,8.3220275574325,0.00751480814577646,0.594884010141211,0.0126323922271715,0.989921077337914,0.998315929808848,"Arginine","N-methyltransferase","(96%T)","","","",""
"3044","Funhe2EKm023854t1","3.62368786869458","5.87391927330455","11.9593727872762","11.5619400486872","17.5131232910306","11.5041788007861","13.2926314053389","14.4895189142761",11.2272965486743,-1.11277397403318,0.612988031978604,-1.81532740605288,0.0694736097328711,1,11.2272965486743,-0.176580668748737,0.575176598804973,-0.30700252603394,0.758841449513261,1,11.2272965486743,0.936193305284442,0.560696046045637,1.66969842553204,0.0949790454248964,0.998315929808848,"Transmembrane","protein","184C","(99%P)","","",""
"3045","Funhe2EKm023860t1","15.2194890485172","15.6637847288121","16.7431219021867","10.4057460438185","6.12959315186072","19.3754590329029","14.7695904503766","10.6256472038025",13.6165539452847,0.966310508433545,0.58221398352175,1.65971710708224,0.0969713762398938,1,13.6165539452847,0.906903634722424,0.584273699727216,1.55218972742712,0.12061683333363,1,13.6165539452847,-0.0594068737111213,0.46941398351342,-0.126555398427799,0.899292299901068,0.998315929808848,"Zinc","finger","protein","(86%M)","","",""
"3046","Funhe2EKm023862l2t1","11.5958011798227","16.6427712743629","26.3106201320077","15.0305220632934","20.1400917846852","10.8986957060079","10.3387133152636","10.6256472038025",15.1978578324057,0.00344601766642085,0.514965936942866,0.00669173904370917,0.994660804579768,1,15.1978578324057,-0.732821472743469,0.538644321479211,-1.36049233886104,0.173674175623154,1,15.1978578324057,-0.73626749040989,0.484104549975754,-1.52088529315985,0.128288625216143,0.998315929808848,"Mothers","against","decapentaplegic","(100%P)","","",""
"3047","Funhe2EKm023862t1","9.42158845860591","7.83189236440607","9.567498229821","11.5619400486872","9.63221781006684","8.47676332689501","4.43087713511297","9.65967927618409",8.82280708122239,-0.236983974523084,0.625684284566234,-0.378759672200136,0.704866336874236,1,8.82280708122239,-0.432963886540407,0.6345316310957,-0.682336175728184,0.495026403250391,1,8.82280708122239,-0.195979912017323,0.57711067099022,-0.339588092663502,0.734166746480332,0.998315929808848,"Methylmalonic","aciduria","(cobalamin","deficiency)","cblA","type","(100%P)"
"3048","Funhe2EKm023865t1","18.1184393434729","18.6007443654644","21.5268710170972","11.5619400486872","7.88090548096378","9.68772951645144","19.2004675854895","13.5235509866577",15.0125810430355,1.0113021592719,0.549170506810182,1.84150850552039,0.065547075314403,1,15.0125810430355,0.49733550336917,0.562694064711111,0.883847075274382,0.376778770255782,1,15.0125810430355,-0.513966655902725,0.458286099712541,-1.12149737080202,0.262076210039866,0.998315929808848,"retrotransposon-derived","protein","PEG10","(14%M)","","",""
"3049","Funhe2EKm023871t1","13.0452763273005","17.6217578199137","5.97968639363812","10.4057460438185","13.134842468273","13.9261111798989","14.7695904503766","6.76177549332887",11.9555982720685,0.0669962792141552,0.59429286267679,0.112732767666758,0.910242421993434,1,11.9555982720685,-0.00945727125434703,0.597393556497359,-0.0158308892881218,0.987369305433346,1,11.9555982720685,-0.0764535504685022,0.528430853511412,-0.144680330379027,0.8849632698224,0.998315929808848,"GRB2-associated-binding","protein","(100%P)","","","",""
"3050","Funhe2EKm023880t1","4.3484254424335","13.7058116377106","8.37156095109337","6.93716402921234","5.25393698730919","10.2932126112297","1.47695904503766","9.65967927618409",7.5058437475263,0.519991011120293,0.763548143334329,0.681019285633452,0.4958592874292,1,7.5058437475263,0.34116226457255,0.77090055118912,0.442550292701575,0.658091045381004,1,7.5058437475263,-0.178828746547743,0.656087566705876,-0.272568412545321,0.785184995937512,0.998315929808848,"TBC1","domain","family","member","9","(100%T)",""
"3051","Funhe2EKm023886t1","147.846465042739","113.562439283888","141.12059888986","135.274698569641","98.949146594323","110.803406344413","82.7097065221087","100.460664472315",116.340890714911,0.200605424147232,0.358464022724986,0.559624987250498,0.57573525759092,1,116.340890714911,-0.245560255013962,0.36132645530661,-0.67960773812033,0.496752868687343,1,116.340890714911,-0.446165679161194,0.321875816516592,-1.38614228303851,0.165703461332359,0.998315929808848,"Family","with","sequence","similarity","13,","member","A"
"3052","Funhe2EKm023894t1","14.4947514747783","6.85290581885531","2.39187455745525","27.7486561168494","5.25393698730919","3.02741547389107","1.47695904503766","5.79580756571046",8.38028837998583,-0.974748450979296,0.757544118458604,-1.28672169346736,0.198191309034641,1,8.38028837998583,-2.19249644661518,0.824395587953814,-2.65951986965026,0.00782521141933154,1,8.38028837998583,-1.21774799563588,0.780541205267884,-1.560132876288,0.118728483838387,0.998315929808848,"DNA","topoisomerase","1","(100%M)","","",""
"3053","Funhe2EKm023905t1","12.3205387535616","6.85290581885531","9.567498229821","9.24955203894979","7.88090548096378","8.47676332689501","10.3387133152636","2.89790378285523",8.44809759339566,0.184708860467451,0.668727037402132,0.276209649283819,0.782387046364332,1,8.44809759339566,-0.259619802778259,0.687181418116962,-0.377803875270198,0.705576294679222,1,8.44809759339566,-0.444328663245709,0.605070871314434,-0.734341519829678,0.462740618874316,0.998315929808848,"UDP-N-acetyl-alpha-D-galactosamine:polypeptide","N-acetylgalactosaminyltransferase","8","(GalNAc-T8)","(88%T)","",""
"3054","Funhe2EKm023909t1","4.3484254424335","8.81087890995683","10.7634355085486","3.46858201460617","7.00524931641225","4.84386475822572","7.38479522518828","13.5235509866577",7.51859777025364,0.531517199094479,0.766568390357281,0.693372184113605,0.488076013734473,1,7.51859777025364,0.653990243711653,0.762886179193267,0.857257952166903,0.391302341042725,1,7.51859777025364,0.122473044617174,0.640622888832794,0.191178065523569,0.848386087838077,0.998315929808848,"Cat","eye","syndrome","critical","region","protein","(67%M)"
"3055","Funhe2EKm023911t1","4.3484254424335","10.7688520010584","13.1553100660039","6.93716402921234","10.5078739746184","10.2932126112297","1.47695904503766","8.69371134856569",8.27268856476993,0.0527363028788461,0.706136452076311,0.0746828785340017,0.940467030575448,1,8.27268856476993,-0.2598670053689,0.719063311244641,-0.361396557584187,0.717803021011366,1,8.27268856476993,-0.312603308247746,0.639369674561963,-0.488924202515412,0.624895360285372,0.998315929808848,"BCL2","13","(Apoptosis","facilitator)","(97%M)","",""
"3056","Funhe2EKm023918t1","22.4668647859064","15.6637847288121","15.5471846234591","19.6552980827683","21.8914041137883","15.7425604642336","25.1083037656401","18.3533906247498",19.3035988986697,-0.200353580489967,0.476700452522905,-0.420292406750632,0.674271856273393,1,19.3035988986697,-0.116849708652015,0.475166095829172,-0.245913396763105,0.805749273107319,1,19.3035988986697,0.0835038718379522,0.428602253512745,0.19482835461916,0.845527323842547,0.998315929808848,"FYVE,","RhoGEF","and","PH","domain-containing","protein","4"
"3057","Funhe2EKm023924t1","5.79790058991133","12.7268250921599","2.39187455745525","5.78097002434362","2.62696849365459","17.5590097485682","4.43087713511297","8.69371134856569",7.50101712372144,0.786468584987546,0.848795434604515,0.926570234621951,0.354149715203679,1,7.50101712372144,1.4010610625598,0.830483454839554,1.68704271517424,0.0915951387599735,1,7.50101712372144,0.614592477572257,0.673158253064015,0.912998503360564,0.361243328677425,0.998315929808848,"Transmembrane","and","TPR","repeat-containing","protein","2","(100%M)"
"3058","Funhe2EKm023933t1","13.0452763273005","11.7478385466091","4.7837491149105","18.4991040778996","14.886154797376","15.1370773694554","13.2926314053389","9.65967927618409",12.6314388643843,-0.708029811827299,0.560971374089515,-1.26214962925063,0.206894949816716,1,12.6314388643843,-0.374264624944758,0.549689803599489,-0.680865139746073,0.495956827860588,1,12.6314388643843,0.333765186882541,0.516054249667029,0.646763760007586,0.517784850303651,0.998315929808848,"Tetratricopeptide","repeat","domain","(100%T)","","",""
"3059","Funhe2EKm023934t1","18.1184393434729","23.4956770932182","17.9390591809144","20.811492087637","8.75656164551531","24.2193237911286","19.2004675854895","27.0471019733155",19.9485153375864,0.461067365932986,0.507034313437885,0.909341544967193,0.363169867252217,1,19.9485153375864,0.719391666171885,0.502281362674902,1.43224837636969,0.152072751408656,1,19.9485153375864,0.258324300238899,0.427388389205241,0.604425171023647,0.545561005079392,0.998315929808848,"Microtubule","associated","monooxygenase,","calponin","and","LIM","domain"
"3060","Funhe2EKm023943t1","7.24737573738916","8.81087890995683","14.3512473447315","5.78097002434362","9.63221781006684","6.66031404256036","8.86175427022593","11.5916151314209",9.1170466588369,0.336771232279804,0.65669897821636,0.512824358573692,0.608074189079887,1,9.1170466588369,0.181748656125209,0.662962612326371,0.274146162613067,0.783972299583139,1,9.1170466588369,-0.155022576154595,0.571211842228886,-0.271392440936959,0.786089215222937,0.998315929808848,"Enhancer","of","mRNA-decapping","protein","(100%P)","",""
"3061","Funhe2EKm023945t1","15.2194890485172","7.83189236440607","8.37156095109337","10.4057460438185","11.3835301391699","5.44934785300393","4.43087713511297","8.69371134856569",8.97326936046096,-0.0277050940147081,0.625723518351622,-0.0442768941907332,0.96468368937286,1,8.97326936046096,-0.803405476680535,0.659654785986524,-1.21791805918459,0.223255112763899,1,8.97326936046096,-0.775700382665827,0.594893304015836,-1.30393194448391,0.192256787396732,0.998315929808848,"Nuclear","transport","factor","(100%P)","","",""
